count_of_chunks,corpus,chunk1,chunk2,euclidean_distance_chunk1_and_chunk2,euclidean_corpus_and_chunk1,euclidean_corpus_and_chunk2,euclidean_corpus_and_all_chunks,length_corpus,length_chunk1,length_chunk2,logfreq_corpus,logfreq_chunk1,logfreq_chunk2
2,normális,normál,is,17.565357208251953,3.0539000034332275,17.478750228881836,8.691093444824219,8,6,2,4.297585445297346,3.4771212547196626,6.274002353245673
2,nyomás,nyom,ás,18.7683048248291,7.714503288269043,18.633750915527344,10.758724212646484,6,4,2,4.296862551992673,3.7712934426290596,2.8651039746411278
2,mások,más,ok,11.866559028625488,15.316840171813965,17.11598014831543,10.435751914978027,5,3,2,4.295325147042704,5.199343718689392,4.570554614307831
2,csinálok,csinál,ok,24.10259246826172,6.919322490692139,28.35448455810547,5.3145432472229,8,6,2,4.292831794508626,4.610223520285089,4.570554614307831
2,maradni,mar,adni,16.47052001953125,20.775575637817383,11.010832786560059,7.319958209991455,7,3,4,4.291213400273596,3.1245042248342823,4.443278637428316
2,bíró,bír,ó,19.43508529663086,11.639840126037598,18.31389808654785,14.616601943969727,4,3,1,4.289967791686734,3.5237464668115646,5.3880727689225045
2,tehetek,te,hetek,14.81316089630127,20.071781158447266,10.384804725646973,4.274462699890137,7,2,5,4.282712723035266,5.976474700373688,3.4824447919182653
2,hála,hál,a,17.512205123901367,10.81529426574707,17.571685791015625,12.584415435791016,4,3,1,4.280031744138702,3.4622482153549976,7.140228930161251
2,őszinte,ő,szinte,20.308408737182617,18.959522247314453,7.954270839691162,11.656393051147461,7,1,6,4.273302278567656,5.7438404551698286,4.271632537487123
2,hajó,ha,jó,8.152987480163574,19.323116302490234,19.33624839782715,14.628493309020996,4,2,2,4.271562825432305,6.17849550526079,5.916272296509418
2,hajó,haj,ó,11.895465850830078,18.025766372680664,21.704490661621094,13.090346336364746,4,3,1,4.271562825432305,3.5742628297070267,5.3880727689225045
2,igenis,igen,is,9.509278297424316,14.516773223876953,18.342309951782227,8.249531745910645,6,4,2,4.259331024917654,6.079998398078352,6.274002353245673
